original_index,subject,predicate,object,is_correct,error_codes,notes
1461,Bird,"showed no significant changes in dissimilarities between logged and unlogged plots over the first years of succession, indicating that salvage logging did not contribute to an accelerated decrease of initial dissimilarities",salvage logging [IUCN: 5.3 Logging & wood harvesting],False,A,
1555,Parus,"fed most diversely in autumn, and least diversely in early summer, with food being especially short in mid-winter and in the breeding season, and competition for food being most severe in mid-winter; hence mortality from",food shortage [IUCN: 12.1 Other threat],True,,
1575,Bird,"have genes on the Z chromosome with a lower breadth of expression, as genes with broad expression are, on average, those with high maximal expression, owing to",transcriptional traffic jams [IUCN: 8.3 Introduced genetic material],True,,
1599,Goldfinch,may experience increased nestling mortality due to,large broods [IUCN: 12.1 Other threat],True,,
1610,Seabird,may experience apparently negative effects from management practices aimed at,ensuring that the fish stock is sustainably harvested [IUCN: 5.4 Fishing & harvesting aquatic resources],True,,
1756,Chicken,"experience increased body weight gain, feed intake, and reduced feed conversion ratio; show higher levels of glutamine, glutathione, superoxide dismutase, and catalase; and decreased malondialdehyde levels in serum and thigh muscle, and increased glutathione peroxidase activity in breast and thigh muscle after dietary glutamine supplementation to mitigate the negative effects of",heat stress [IUCN: 11.3 Temperature extremes],True,,
1777,Black Brant,may be affected by changes in,food abundance [IUCN: 11.1 Habitat shifting & alteration],True,,
1794,Western Sandpiper,tended to have lower triglyceride levels using sites with a,lower index of mudflat exposure [IUCN: 7.2 Dams & water management/use],True,,
1834,African penguin,experienced natural death and euthanasia due to,low hematocrit at admission [IUCN: 8.2 Problematic native species/diseases],True,,
1837,King Penguin,"show a significantly shallower foraging depth, particularly during their first 5 months at sea, which could indicate",differences in foraging strategy and targeted prey [IUCN: 12.1 Other threat],False,"A,D",
1852,Chicken,showed infiltration of mononuclear cells in epididymal tissue indicating inflammation following,G. anatis infection [IUCN: 8.1 Invasive non-native/alien species/diseases],True,,
1874,Terrestrial Breeding Bird,show consistent positive correlations with,invasive plant species [IUCN: 8.1 Invasive non-native/alien species/diseases],True,,
1877,Eastern Bluebird,"exhibit greatest aggression to models of intruder females during early stages of nest cycles, a pattern most consistent with protection against",intraspecific egg dumping [IUCN: 8.2 Problematic native species/diseases],True,,
1890,Flycatcher,"frequently occurred in matrix surrounded by highly scattered deciduous habitats, experiencing significant landscape effects from",habitat fragmentation (scatteredness of deciduous habitats) [IUCN: 7.1 Fire & fire suppression],True,,
1922,Amazonian parrot,are being over-harvested and may be seriously threatened in the long term due to,over-harvesting [IUCN: 5.1 Hunting & collecting terrestrial animals],True,,
1991,Guillemot,show variation in mercury concentration due to either loss of mercury or weight loss of feathers from,ultraviolet light [IUCN: 11.3 Temperature extremes],True,,
2007,Greater Sage-Grouse,experienced temporary closures in response to,wildfires [IUCN: 7.1 Fire & fire suppression],True,,
2010,Homing Pigeon,"exhibit low bioavailability and unexpectedly low recovery from droppings, indicating that",pigeon enzymically inactivates penicillins [IUCN: 8.1 Invasive non-native/alien species/diseases],True,,
2034,Lesser Honeyguide,shows digestive efficiency for foundation wax above 90% in the,absence of other feed [IUCN: 5.2 Gathering terrestrial plants],False,A,
2046,Golden Eagle,risk of collision with,collision with wind turbines [IUCN: 3.3 Renewable energy],True,,
2125,Scopoli's Shearwater,had the decision to perform long lasting trips triggered by,lower values of primary production [IUCN: 11.1 Habitat shifting & alteration],True,,
2202,Herring Gull,had highest mean Pb concentrations in bone from a colony in the Bay of Fundy of,Pb concentrations [IUCN: 9.2 Industrial & military effluents],False,D,
2224,Red-footed Booby,exhibits a significant decrease in prolactin titers following,incubation failure [IUCN: 12.1 Other threat],True,,
2231,Bird,can be harmed through,collisions [IUCN: 4.1 Roads & railroads],True,,
2317,Amazon parrot,is threatened by,hunting [IUCN: 5.1 Hunting & collecting terrestrial animals],False,C,
2326,Monk Parakeet,has a wide distribution due to,pet trade [IUCN: 5.1 Hunting & collecting terrestrial animals],True,,
2333,Accipitriformes,"experienced declines in abundance,",longer operating times [IUCN: 3.3 Renewable energy],True,,
2399,Blue-fronted Amazon,"can be predisposed to characteristic behaviors related to stress, which can be manifested as a feather plucking syndrome due to",confinement [IUCN: 6.1 Recreational activities],True,,
2409,South Polar Skua,"experienced overall increases in breeding pairs and occupied territories, with considerable annual variation and intermittent seasons of near-complete breeding failure, likely reflecting",sea ice [IUCN: 11.4 Storms & flooding],True,,
2434,Razorbill,"show a negative relationship with fish density at the scale of kilometers, potentially due to",fish diving to escape foraging sea birds [IUCN: 5.4 Fishing & harvesting aquatic resources],True,,
2443,Seabird,cause,reduced fish catches [IUCN: 5.4 Fishing & harvesting aquatic resources],False,A,
2464,Farmland bird,experience reduced reproductive success during breeding and low survival during winters due to,decreased abundance and availability of crucial food resources within farmland [IUCN: 2.1 Annual & perennial non-timber crops],True,,
2469,Green Peafowl,faces threats to its survival posed by,habitat disturbance [IUCN: 1.1 Housing & urban areas],True,,
2515,Belcher's Prion,"had higher CORT levels than fed chicks, although the age effect here was stronger than the effect of recent feeding; also, CORT levels during the active phase were also highly elevated in unfed chicks compared with fed chicks, and close to fledging, chicks rapidly increased basal CORT levels, and again unfed chicks",food availability and/or internal energy stores [IUCN: 11.2 Droughts],True,,
2592,Griffon Vulture,"were exposed to higher temperatures preceding their death, suggesting heat stress as the cause of death; arguably, they failed to avoid the harsh environmental conditions, resulting in overheating due to their inexperience and undeveloped flight ability, as reflected by their lower probabilities of flying and shorter travel distances per day compared to wild-born vultures",heat stress [IUCN: 11.3 Temperature extremes],True,,
2597,Gentoo penguin,show breeding success negatively related to,the number of nearby southern elephant seal harems [IUCN: 6.1 Recreational activities],True,,
2611,Barn Owl,contributes significantly to the mortality of,predation [IUCN: 8.2 Problematic native species/diseases],False,A,
2623,Dwarf Chicken,are characterized by,low circulating levels of T3 and T4 [IUCN: 8.2 Problematic native species/diseases],True,,
2628,Great Tit,from the continental‐climate Zvenigorod population facing the need to conserve energy for surviving and simultaneously being able to generate more heat to withstand,cold spells [IUCN: 11.3 Temperature extremes],True,,
2718,Peruvian Shearwater,may pose a threat to human health through,"exposure to the excreta of these birds, either directly or via food and water [IUCN: 9.1 Domestic & urban waste water]",False,A,
2738,Grouse,"show a decrease in cecal length as dietary fiber increases, suggesting an adaptation to maximize energy extraction from",poor quality foods [IUCN: 2.1 Annual & perennial non-timber crops],True,,
2751,Homing Pigeon,experience systemic effects and anosmia that persists for only an hour after,"depriving homing pigeons of olfactory information by applying a local anaesthetic, gingicain, to their olfactory epithelium [IUCN: 6.1 Recreational activities]",False,A,
2754,Aseel,exhibited a,greater fear response [IUCN: 6.1 Recreational activities],False,"A,C,D",
2763,Ortolan Bunting,had male pairing success negatively related to,isolation of patches [IUCN: 7.1 Fire & fire suppression],True,,
2790,Mallard,have migration movements influenced by,human disturbance [IUCN: 6.1 Recreational activities],True,,
2804,Cotinga,face potential network collapse due to the,extirpation of large frugivores [IUCN: 5.1 Hunting & collecting terrestrial animals],True,,
2812,Chicken,experienced significantly decreased body weight gain between days 14 and 28 following,intramuscularly in doses varying from 2 to 24 mg/100 g of body weight [IUCN: 8.2 Problematic native species/diseases],True,,
2872,Tree Swallow,"contained contaminant concentrations which were one to two orders of magnitude above those in sediments, with maximum concentrations of mirex in eggs at",mirex [IUCN: 9.2 Industrial & military effluents],False,A,
2944,Greylag Goose,experienced a sharp rise in feed intake and spontaneous liver steatosis when subjected to a,short photoperiod [IUCN: 11.3 Temperature extremes],True,,
2980,Bird,experience indirect effects through,loss of prey base [IUCN: 2.1 Annual & perennial non-timber crops],True,,
3069,Sulphur-bellied Tyrannulet,"exhibits a behavior of associating with wasp colonies as a form of defense against, and this behavior seems to be related to their breeding season since",predation on their nests [IUCN: 12.1 Other threat],True,,
3184,Northern Wheatear,experienced effects potentially associated with,dioxin-like compounds (DLCs) [IUCN: 9.2 Industrial & military effluents],True,,
3186,Northern Wheatear,may experience effects from,inbreeding [IUCN: 8.2 Problematic native species/diseases],True,,
3192,Bateleur,seems to be,decreasing [IUCN: 12.1 Other threat],False,"A,C",
3228,Swainson's Thrush,showed a sharply decreased probability of crossing,gaps 25-40 m wide [IUCN: 7.3 Other ecosystem modifications],False,A,
3231,White-throated Sparrow,were more prone to crossing,treeless gaps [IUCN: 7.1 Fire & fire suppression],False,"A,C",
3271,Long-eared Owl,has reduced breeding numbers on Cyprus due to the,shooting of Corvidae during the breeding season [IUCN: 5.1 Hunting & collecting terrestrial animals],True,,
3303,Bird,experienced negative impacts on migration and survival due to,cutting off their food supply [IUCN: 2.1 Annual & perennial non-timber crops],True,,
3426,Long-billed Dowitcher,"accumulated DDE residues that significantly increased from October to December, reaching",potentially dangerous levels accumulating in some long-billed dowitchers and American avocets [IUCN: 9.3 Agricultural & forestry effluents],True,,
3437,Bird,are affected by a,reduction in biodiversity due to farming operations [IUCN: 2.1 Annual & perennial non-timber crops],True,,
3455,Takahē,"had superficial soft tissue injury to skin or patagium or more severe injury, such as remodeling of the distal humerus at the harness cord-wing interface, or pathologic fractures, hypothesized to be associated with",reduced fitness [IUCN: 6.1 Recreational activities],True,,
3504,Bird,"show no relationship between 24 h noise and bird species richness, suggesting that birds can temporarily fly away from or avoid sites when noisy, become cryptic while noisy events are occurring, or be undetected due to our inability to record them in the field during",noisy events [IUCN: 6.1 Recreational activities],False,A,
3579,Chicken,"fed diets containing whole lupin seed meal had lower final body weight and feed intake, but gain:feed ratios were not different from controls; those fed dehulled lupin seed meal had similar body weight, feed intake and gain:feed values to controls; plasma uric acid concentration was higher, and plasma cholesterol and triglycerides lower, in chicks fed whole lupin but not in those fed dehulled lupin seed meal; the relative weight of the liver was higher than controls in lupin-fed birds, but not in those fed enzyme supplemented lupin-based diets; liver concentrations of DNA tended to rise, while those of glycogen tended to decrease and liver RNA was lower in lupin-fed chicks",inclusion in their diets of whole or dehulled lupin (Lupinus angustifolius) seed meal [IUCN: 2.1 Annual & perennial non-timber crops],True,,
3581,Seabird,"experience hypothermia, dehydration, gastrointestinal problems, pneumonias, hemolytic anemia, skin and corneal irritation, and impacts on reproductive organs as primary effects, and various infectious diseases, pododermatitis, joint swellings, and keel lesions as secondary problems related to prolonged captive husbandry due to",oil contamination [IUCN: 9.2 Industrial & military effluents],True,,
3622,Acrocephalus,have lower skulls and smaller forebrains than resident species due to being,developmentally constrained [IUCN: 12.1 Other threat],True,,
3624,Parulidae,have lower skulls and smaller forebrains than resident species due to being,developmentally constrained [IUCN: 12.1 Other threat],True,,
3626,Sylvia,experience braincase dimensions constrained by,Bill adaptations for foraging constrain braincase dimensions [IUCN: 12.1 Other threat],True,,
3632,Taiga Bean Goose,tested positive for,RA infection [IUCN: 8.1 Invasive non-native/alien species/diseases],True,,
3688,Chicken,"shows reduced performance, total protein and antioxidant status of",heat stress [IUCN: 11.3 Temperature extremes],True,,
3701,Little shearwater,experienced,delayed laying dates [IUCN: 11.1 Habitat shifting & alteration],False,C,
3714,Canary,"possibly experienced developmental stress which is known to reduce song quality, resulting in",developmental stress [IUCN: 12.1 Other threat],True,,
3785,Tree Swallow,will have their laying date adjustment partly constrained in habitats with,lower breeder densities [IUCN: 12.1 Other threat],True,,
3791,Common Pheasant,may affect local invertebrate populations by causing relative decreases outside pens when the pheasants start to,dispersal of pheasants [IUCN: 8.1 Invasive non-native/alien species/diseases],True,,
3793,Chicken,developed lameness attributable predominately to BCO when,rearing broilers on wire flooring [IUCN: 2.3 Livestock farming & ranching],True,,
3821,White Leghorn,withstood,social competition [IUCN: 8.2 Problematic native species/diseases],False,"A,C",
3876,White Roman goose,"may reduce the proportion of abnormal behaviors, such as",injurious feather pecking [IUCN: 8.2 Problematic native species/diseases],False,"A,C",
3895,Snail Kite,face a significant risk to their already diminished population from,"toxin produced by a recently described cyanobacterium, Aetokthonos hydrillicola gen. et sp. nov. [IUCN: 8.1 Invasive non-native/alien species/diseases]",True,,
3903,Bird,"show a positive relationship between the occurrence of extrapair paternity and the relatedness of social mates, potentially indicating a response to",pairing with a genetically similar mate [IUCN: 8.2 Problematic native species/diseases],False,A,
3921,Bird,experience reduced diversity due to,permanent loss of agricultural land [IUCN: 2.1 Annual & perennial non-timber crops],True,,
3957,Chicken,showed increased plasma creatine kinase activity in response to,crating [IUCN: 6.6 Work & other activities],True,,
4005,Ruddy Shelduck,experienced a,major declining trend [IUCN: 12.1 Other threat],False,C,
4047,White Stork,"breeding success was not affected by conditions in wintering grounds, but only by the",weather during breeding season [IUCN: 11.4 Storms & flooding],False,A,
4055,Andean Flamingo,show TMM concentrations in their blood and feathers that may respond mainly to,effluents from the nearby city of Oruro [IUCN: 9.1 Domestic & urban waste water],True,,
4063,Eurasian Reed Warbler,can use magnetic declination to solve this problem when they were,virtual magnetic displacement [IUCN: 12.1 Other threat],False,"A,C,D",
4096,Willow Warbler,shows significant decreases in adult numbers during 2008 due to,low productivity [IUCN: 11.1 Habitat shifting & alteration],True,,
4123,Chicken,"showed significantly higher antibody responses to KLH in, and were heavier and produced their first eggs earlier in",keeping layers in battery cages (BC) [IUCN: 1.1 Housing & urban areas],False,A,
4152,Red-tailed Hawk,"are exposed to SGARs to a lesser extent than great horned owls and have lower liver residue levels, with a lower risk of being directly killed by",SGARs [IUCN: 9.3 Agricultural & forestry effluents],False,A,
4203,Arctic shorebird,"exhibited low Hg concentrations, with approximately 45% of individuals categorized at no risk, 2.5% at high risk category, and no individual at severe risk",mercury (Hg) exposure [IUCN: 9.2 Industrial & military effluents],False,A,
4244,Insect-eating bird,readily accumulate DDT residues sufficient to cause,eggshell thinning [IUCN: 9.2 Industrial & military effluents],True,,
4259,Goose,experience high mortality due to,acute septicemia [IUCN: 8.1 Invasive non-native/alien species/diseases],True,,
4279,Migratory Wader,have been found to be radioactive; an examination has shown in some of the,radiation [IUCN: 9.6 Excess energy],True,,
4307,Chicken,showed a lower incidence of mild footpad lesions compared with other treatments; enzyme supplementation reduced the severity of,pododermatitis [IUCN: 8.2 Problematic native species/diseases],False,A,
4308,Northern Gannet,would have absorbed most,oil-induced mortality [IUCN: 9.2 Industrial & military effluents],False,C,
4333,Tundra Bean Goose,are heavily impacted by,climate warming [IUCN: 11.1 Habitat shifting & alteration],True,,
4391,Columbidae,contain significantly more species than expected that are at risk of,extinction [IUCN: 12.1 Other threat],False,"A,C",
4573,Tree Swallow,"paid reproductive costs at several stages of the nesting cycle, including lower initial brood sizes due to",higher proportion of their eggs failed to hatch [IUCN: 8.1 Invasive non-native/alien species/diseases],True,,
4632,Bird,suffer a significantly higher rate of and earlier,nest predation [IUCN: 8.1 Invasive non-native/alien species/diseases],True,,
4640,Pine Siskin,"have significantly elevated blood properties over those of their montane relatives, potentially reflecting adjustments in oxygen carrying capacity to meet",thermogenic demands [IUCN: 11.3 Temperature extremes],True,,
4655,Red-legged Partridge,tended to start laying later than older females due to a,delay in gametogenesis and steroidogenesis [IUCN: 12.1 Other threat],True,,
4703,White-winged Scoter,may experience altered distributions and abundances due to,climate change [IUCN: 11.1 Habitat shifting & alteration],True,,
4738,Ostrich,may experience,infection of some game meats with Trichinella or other foodborne parasites [IUCN: 8.1 Invasive non-native/alien species/diseases],True,,
4754,Common Sandpiper,showed that fledging success was correlated with,heavy rainfall [IUCN: 11.4 Storms & flooding],True,,
4830,Zebra finch,"were tested in quadruplets in which they had the choice of mating with a close relative or a non-relative, and the majority chose to mate incestuously, possibly due to","the normal dispersal, as it is possible in the wild, is prevented in the laboratory [IUCN: 12.1 Other threat]",False,A,
4870,Green Catbird,experienced mostly opportunistic foraging due to the,irregular availability of most species of fruit [IUCN: 7.1 Fire & fire suppression],True,,
4898,Passerine,"are adversely affected by, showing disorienting influence during nocturnal migration and varying associations with ALAN trends across their seasonal distributions, with some experiencing moderate ALAN levels and weak negative ALAN trends during the breeding season and low ALAN levels and strong positive ALAN trends during the nonbreeding season, while others show high associations with positive ALAN trends across the annual cycle, peaking during migration",Artificial light at night (ALAN) [IUCN: 1.1 Housing & urban areas],True,,
4946,Waterfowl,"were diagnosed as lead poisoned and had hepatic lead concentrations of at least 38 ppm dry weight (10 ppm wet weight) in 95% of cases, with impactions of the upper alimentary tract, submandibular edema, myocardial necrosis, and biliary discoloration of the liver as common indicators",lead poisoning [IUCN: 9.4 Garbage & solid waste],True,,
4982,Black-faced Honeyeater,"can become infested by the larvae of, which reduce growth and can be fatal to",larvae of a parasitic fly (Passeromyia indecora) [IUCN: 8.1 Invasive non-native/alien species/diseases],True,,
5012,Anseriformes,can manifest,clinical Salmonellosis [IUCN: 8.2 Problematic native species/diseases],False,C,
5026,Tree Swallow,"had higher reproductive output and offspring with longer telomeres, yet these mothers suffered the cost of",shorter expected lifespan [IUCN: 12.1 Other threat],True,,
5031,Chicken,showed no impact on blood physiology as a result of,temperature (T)/RH combinations [IUCN: 11.3 Temperature extremes],False,A,
5059,Diver,experience population decline due to,reseeding and fertilizing of moorland and grassland [IUCN: 2.1 Annual & perennial non-timber crops],True,,
5072,Sea duck,experience population decline due to,reseeding and fertilizing of moorland and grassland [IUCN: 2.1 Annual & perennial non-timber crops],True,,
5110,Ross Goose,"is the most preferred bird, but its profitability is significantly affected by the",cost of feed [IUCN: 2.1 Annual & perennial non-timber crops],False,A,
5112,Ross Goose,"is the most preferred bird, but its profitability is significantly affected by the cost of",day-old chicks [IUCN: 5.1 Hunting & collecting terrestrial animals],False,A,
5125,Northern Wheatear,"displayed a lower apparent survival and returning birds arrived on average 3.5 days later, started laying eggs 6.3 days later, and had lower nest success than control birds",geolocators [IUCN: 6.1 Recreational activities],True,,
5147,Black-capped Antshrike,show movement patterns affected by,patch isolation [IUCN: 7.1 Fire & fire suppression],True,,
5180,Northern Mockingbird,experienced predation by,addition of new predators [IUCN: 8.1 Invasive non-native/alien species/diseases],True,,
5188,Kakapo,may experience long-term negative consequences from,loss of genetic variation [IUCN: 8.3 Introduced genetic material],True,,
5243,Turdoides bicolor,show a periorbital temperature increase more steeply in individuals with low body mass under,higher temperatures [IUCN: 11.3 Temperature extremes],True,,
5255,Bird,has become invasive in,alien organisms [IUCN: 8.1 Invasive non-native/alien species/diseases],False,C,
5274,Carolina Chickadee,showed vocalisations with frequency that was higher in areas of,anthropogenic sound disturbance [IUCN: 6.1 Recreational activities],True,,
5285,Chicken,experience a high prevalence of,high prevalence of diseases and parasites [IUCN: 8.2 Problematic native species/diseases],False,"C,D",
5290,Black Grouse,may experience population decline due to,higher predation rates on natural grouse nests [IUCN: 8.2 Problematic native species/diseases],True,,
5300,Pheasant,show a low rate of brood production caused by,widescale release of handreared birds which are known to breed poorly [IUCN: 8.1 Invasive non-native/alien species/diseases],True,,
5359,Straw-necked Ibis,encountered some aggressive behavior from solitary breeding,aggressive behavior [IUCN: 6.1 Recreational activities],False,D,
5369,Giant Canada Goose,may experience potential impacts on populations of subarctic nesting Canada geese due to,increasing numbers of molt migrants [IUCN: 8.2 Problematic native species/diseases],True,,
5411,Passerine,were incorrectly compared to,comparison of data collected from live passerines with data collected from frozen nonpasserines [IUCN: 12.1 Other threat],False,A,
