title,abstract,year,doi
"Pollution, habitat loss, fishing, and climate change as critical threats to penguins","Cumulative human impacts across the world's oceans are considerable. We therefore examined a single model taxonomic group, the penguins (Spheniscidae), to explore how marine species and communities might be at risk of decline or extinction in the southern hemisphere. We sought to determine the most important threats to penguins and to suggest means to mitigate these threats. Our review has relevance to other taxonomic groups in the southern hemisphere and in northern latitudes, where human impacts are greater. Our review was based on an expert assessment and literature review of all 18 penguin species; 49 scientists contributed to the process. For each penguin species, we considered their range and distribution, population trends, and main anthropogenic threats over the past approximately 250 years. These threats were harvesting adults for oil, skin, and feathers and as bait for crab and rock lobster fisheries; harvesting of eggs; terrestrial habitat degradation; marine pollution; fisheries bycatch and resource competition; environmental variability and climate change; and toxic algal poisoning and disease. Habitat loss, pollution, and fishing, all factors humans can readily mitigate, remain the primary threats for penguin species. Their future resilience to further climate change impacts will almost certainly depend on addressing current threats to existing habitat degradation on land and at sea. We suggest protection of breeding habitat, linked to the designation of appropriately scaled marine reserves, including in the High Seas, will be critical for the future conservation of penguins. However, large-scale conservation zones are not always practical or politically feasible and other ecosystem-based management methods that include spatial zoning, bycatch mitigation, and robust harvest control must be developed to maintain marine biodiversity and ensure that ecosystem functioning is maintained across a variety of scales.",2014,https://doi.org/10.1111/cobi.12349
Harvest and dynamics of duck populations,"The role of harvest in the dynamics of waterfowl populations continues to be debated among scientists and managers. Our perception is that interested members of the public and some managers believe that harvest influences North American duck populations based on calls for more conservative harvest regulations. A recent review of harvest and population dynamics of North American mallard (Anas platyrhynchos) populations (Pöysä et al. 2004) reached similar conclusions. Because of the importance of this issue, we reviewed the evidence for an impact of harvest on duck populations. Our understanding of the effects of harvest is limited because harvest effects are typically confounded with those of population density; regulations are typically most liberal when populations are greatest. This problem also exists in the current Adaptive Harvest Management Program (Conn and Kendall 2004). Consequently, even where harvest appears additive to other mortality, this may be an artifact of ignoring effects of population density. Overall, we found no compelling evidence for strong additive effects of harvest on survival in duck populations that could not be explained by other factors. © 2012 The Wildlife Society.",2012,https://doi.org/10.1002/jwmg.370
Poisoning from lead gunshot: still a threat to wild waterbirds in Britain,"Lead is a highly toxic metal known to be an important cause of morbidity and mortality in waterbirds and terrestrial birds worldwide. The risk to birds of poisoning from lead has resulted in the introduction of legislation in many countries, such as UK restrictions on the use of lead in angling weights and lead gunshot. In this study, we examined data on current and historical trends in lead poisoning in British waterbirds and related these to the introduction of legislation restricting the use of lead. Our results indicate that lead poisoning has continued to affect a wide range of British waterbirds long after legal restrictions were introduced. Elevated levels of lead (i.e. > 20.0 mu g/dL) were found in the blood of 34 % (n = 285) of waterbirds tested at four sites in Britain during the 2010/2011 winter and accounted for the deaths of at least 10.6 % (n = 2,365) of waterbirds recovered across Britain between 1971 and 2010 and 8.1 % (n = 1,051) between 2000 and 2010, with lead gunshot being the most likely source of poisoning. The proportion of birds dying from lead poisoning in England did not vary significantly after the introduction of legislation, accounting for 13.7 % of non-infectious causes of death between 1971 and 1987 (n = 204), 20.8 % (n = 360) between 1988 and 1999 and 11.8 % (n = 423) between 2000 and 2010, despite a significant change in lead-related mortality in mute swans found during the same time period, 25 % (n = 12) between 1971 and 1987, 4.6 % (n = 65) between 1988 and 1999 and 2 % (n = 100) between 2000 and 2010. Existing legislation needs review and extension to ensure the delivery of international commitments and a broad-scale transition to the use of non-toxic shot and angling materials in all environments.",2012,https://doi.org/10.1007/s10344-012-0666-7
Global population collapse in a superabundant migratory bird and illegal trapping in China,"Persecution and overexploitation by humans are major causes of species extinctions. Rare species, often confined to small geographic ranges, are usually at highest risk, whereas extinctions of superabundant species with very large ranges are rare. The Yellow-breasted Bunting (Emberiza aureola) used to be one of the most abundant songbirds of the Palearctic, with a very large breeding range stretching from Scandinavia to the Russian Far East. Anecdotal information about rapid population declines across the range caused concern about unsustainable trapping along the species' migration routes. We conducted a literature review and used long-term monitoring data from across the species' range to model population trend and geographical patterns of extinction. The population declined by 84.3-94.7% between 1980 and 2013, and the species' range contracted by 5000 km. Quantitative evidence from police raids suggested rampant illegal trapping of the species along its East Asian flyway in China. A population model simulating an initial harvest level of 2% of the population, and an annual increase of 0.2% during the monitoring period produced a population trajectory that matched the observed decline. We suggest that trapping strongly contributed to the decline because the consumption of Yellow-breasted Bunting and other songbirds has increased as a result of economic growth and prosperity in East Asia. The magnitude and speed of the decline is unprecedented among birds with a comparable range size, with the exception of the Passenger Pigeon (Ectopistes migratorius), which went extinct in 1914 due to industrial-scale hunting. Our results demonstrate the urgent need for an improved monitoring of common and widespread species' populations, and consumption levels throughout East Asia.",2015, 10.1111/cobi.12537
A review of lead poisoning from ammunition sources in terrestrial birds,"Poisoning from lead shot in waterbirds has been well documented globally and, in some countries, legislation exists to combat lead toxicosis at wetlands and/or in waterbirds. However, poisoning of terrestrial species such as raptors and upland game birds, while of potential conservation concern, remains largely to be addressed. For several species, shot are not the only ammunition source of lead, as bullet fragments can be ingested from hunter-killed animal carcasses and gut piles left in the field. This review collates the current knowledge of lead poisoning from ammunition in non-waterbirds. Fifty-nine terrestrial bird species have so far been documented to have ingested lead or suffered lead poisoning from ammunition sources, including nine Globally Threatened or Near Threatened species. We discuss the conservation significance of continued lead use, and detail measures needed to combat lead poisoning.",2006,https://doi.org/10.1016/j.biocon.2006.02.018
Managing Birds and Controlling Aircraft in the Kennedy Airport–Jamaica Bay Wildlife Refuge Complex: The Need for Hard Data and Soft Opinions,"During the 1980s, the exponential growth of laughing gull (Larus atricilla) colonies, from 15 to about 7600 nests in 1990, in the Jamaica Bay Wildlife Refuge and a correlated increase in the bird-strike rate at nearby John F. Kennedy International Airport (New York City) led to a controversy between wildlife and airport managers over the elimination of the colonies. In this paper, we review data to evaluate if: (1) the colonies have increased the level of risk to the flying public; (2) on-colony population control would reduce the presence of gulls, and subsequently bird strikes, at the airport; and (3) all on-airport management alternatives have been adequately implemented. Since 1979, most (2987, 87%) of the 3444 bird strikes (number of aircraft struck) were actually bird carcasses found near runways (cause of death unknown but assumed to be bird strikes by definition). Of the 457 pilot-reported strikes (mean = 23 ± 6 aircraft/yr, N= 20 years), 78 (17%) involved laughing gulls. Since a gull-shooting program was initiated on airport property in 1991, over 50,000 adult laughing gulls have been killed and the number of reported bird strikes involving laughing gulls has declined from 6.9 ± 2.9 (1983–1990) to 2.6 ± 1.3 (1991–1998) aircraft/yr; nongull reported bird strikes, however, have more than doubled (6.4 ± 2.6, 1983–1990; 14.9 ± 5.1, 1991–1998). We found no evidence to indicate that on-colony management would yield a reduction of bird strikes at Kennedy Airport. Dietary and mark–recapture studies suggest that 60%–90% of the laughing gulls collected on-airport were either failed breeders and/or nonbreeding birds. We argue that the Jamaica Bay laughing gull colonies, the only ones in New York State, should not be managed at least until all on-airport management alternatives have been properly implemented and demonstrated to be ineffective at reducing bird strikes, including habitat alterations and increasing the capability of the bird control unit to eliminate bird flocks on-airport using nonlethal bird dispersal techniques. Because the gull-shooting program may be resulting in a nonsustainable regional population of laughing gulls (>30% decline), we also recommend that attempts be made to initiate an experimental colony elsewhere on Long Island to determine if colony relocation is a feasible management option.",2001,https://link.springer.com/article/10.1007/s002670010219
The state of the art in raptor electrocution research: A global review,"We systematically reviewed the raptor electrocution literature to evaluate study designs and methods used in raptor electrocution research, mitigation, and monitoring, emphasizing original research published in English. Specifically, we wondered if three decades of effort to reduce raptor electrocutions has had positive effects. The majority of literature examined came from North America, western Europe, and South Africa. In spite of intensive and often sustained effort by industry and governments across three continents for 30 years, reductions in the incidence of electrocution have been demonstrated in only a few studies. Reliable rate estimates of electrocution mortality generally are unavailable, with some exceptions. Nearly half of 110 studies we analyzed in detail were retrospective reviews of historical mortality records, banding data, or results of necropsies on dead birds received at pathology and veterinary facilities. Among prospective studies, less than half used unbiased approaches to sampling and many did not provide enough detail to assess the sampling design used. At this time, few researchers can demonstrate the reliability of standardized retrofitting procedures or the effectiveness of monitoring techniques. Future progress in reducing raptor mortalities on power lines will benefit from properly designed studies that generate rate estimates of mortality, address biasing factors, and include predictions concerning risk and techniques to reduce risk that can be tested in the field or laboratory.",2007,https://doi.org/10.1016/j.biocon.2006.09.015
Estimation of bird-vehicle collision mortality on U.S. roads,"Roads have numerous direct and indirect ecological impacts on wildlife. Vehicle collisions are a top impact of roads on birds, with tens of millions of birds thought to be killed each year in the United States. However, currently available mortality estimates are extrapolated from a single study. We reviewed the literature and used 20 mortality rates extracted from 13 studies to systematically quantify data-driven estimates of annual U.S. mortality from bird-vehicle collisions. We generated 4 separate estimates along with uncertainty using different subsets of data deemed to be rigorous enough to contribute relatively little bias to estimates. All of our estimates of vehicle mortality are higher than previous U.S. figures. When averaging across model iterations, we estimated that between 89 and 340 million birds die annually from vehicle collisions on U.S. roads. Sensitivity analyses indicated that uncertainty about survey-related biases (scavenger removal and searcher detection of carcasses) contributes the greatest amount of uncertainty to our mortality estimates. Future studies should account for these biases to provide more accurate local estimates of mortality rates and to inform more precise national mortality estimates. We found relatively little information available to quantify regional, seasonal, and taxonomic patterns of vehicle collision risk, and substantial uncertainty remains about whether collisions contribute to large-scale impacts on bird populations. Nonetheless, the large magnitude of bird mortality caused by vehicle collisions combined with evidence that collisions can contribute to local population declines for some species highlights the need for implementation of conservation and management actions to reduce this mortality. Published 2014. This article is a U.S. Government work and is in the public domain in the USA.",2014,http://dx.doi.org/10.1002/jwmg.721
Effects of road networks on bird populations,"One potential contributor to the worldwide decline of bird populations is the increasing prevalence of roads, which have several negative effects on birds and other vertebrates. We synthesized the results of studies and reviews that explore the effects of roads on birds with an emphasis on paved roads. The well-known direct effects of roads on birds include habitat loss and fragmentation, vehicle-caused mortality, pollution, and poisoning. Nevertheless, indirect effects may exert a greater influence on bird populations. These effects include noise, artificial light, barriers to movement, and edges associated with roads. Moreover, indirect and direct effects may act synergistically to cause decreases in population density and species richness. Of the many effects of roads, it appears that road mortality and traffic noise may have the most substantial effects on birds relative to other effects and taxonomic groups. Potential measures for mitigating the detrimental effects of roads include noise-reduction strategies and changes to roadway lighting and vegetation and traffic flow. Road networks and traffic volumes are projected to increase in many countries around the world. Increasing habitat loss and fragmentation and predicted species distribution shifts due to climate change are likely to compound the overall effects of roads on birds.",2011,https://doi.org/10.1111/j.1523-1739.2010.01635.x
Potential Impacts of Highway Median Barriers on Wildlife: State of the Practice and Gap Analysis,Median barriers separate lanes of traffic moving in opposite directions on multilane highways. Such traffic safety devices can reduce head-on collisions but also have the potential to reduce landscape permeability by impeding wildlife movements across highways. Median barriers may also increase the risk of wildlife-vehicle collisions if an animal becomes trapped or confused amid barriers searching for a place to cross. A 2002 Transportation Research Board report highlighted the need to better understand the potential impacts of highway median barriers on wildlife. This lack of information can cause significant project delays and increase transportation project costs. This study represents the first attempt in North America to bring together information about highway median and roadside barriers and wildlife and provide preliminary guidelines to balance the needs of motorist safety and wildlife movements.,2013,http://dx.doi.org/10.1007/s00267-013-0155-0
Estimates of Avian Mortality Attributed to Vehicle Collisions in Canada,"Although mortality of birds from collisions with vehicles is estimated to be in the millions in the USA, Europe, and the UK, to date, no estimates exist for Canada. To address this, we calculated an estimate of annual avian mortality attributed to vehicular collisions during the breeding and fledging season, in Canadian ecozones, by applying North American literature values for avian mortality to Canadian road networks. Because owls are particularly susceptible to collisions with vehicles, we also estimated the number of roadkilled Barn owls (Tyto alba) in its last remaining range within Canada. (This species is on the IUCN red list and is also listed federally as threatened; Committee on the Status of Endangered Wildlife in Canada 2010, International Union for the Conservation of Nature 2012). Through seven Canadian studies in existence, 80 species and 2,834 specimens have been found dead on roads representing species from 14 orders of birds. On Canadian 1 and 2-lane paved roads outside of major urban centers, the unadjusted number of bird mortalities/yr during an estimated 4-mo (122-d) breeding and fledging season for most birds in Canada was 4,650,137 on roads traversing through deciduous, coniferous, cropland, wetlands and nonagricultural landscapes with less than 10% treed area. On average, this represents 1,167 birds killed/100 km in Canada. Adjusted for scavenging, this estimate was 13,810,906 (3,462 dead birds/100 km). For barn owls, the unadjusted number of birds killed annually on 4-lane roads during the breeding and fledging season, within the species geographic range in southern British Columbia, was estimated as 244 owls and, when adjusted for scavenging and observer bias (3.6 factor), the total was 851 owls.",2013,http://dx.doi.org/10.5751/ACE-00604-080202
Poor evidence-base for assessment of windfarm impacts on birds,"Concerns about anthropogenic climate change have resulted in promotion of renewable energy sources, especially wind energy. A concern raised against widespread windfarm development is that it may negatively impact bird populations as a result of bird collision with turbines, habitat loss and disturbance. Using systematic review methodology bird abundance data were synthesized from 19 globally-distributed windfarms using meta-analysis. The effects of bird taxon, turbine number, power, location, latitude, habitat type, size of area, time since operation, migratory status of the species and quality of evidence were analysed using meta-regression. Although the synthesized data suggest a significant negative impact of windfarms on bird abundance, there is considerable variation in the impact of individual windfarm sites on individual bird species, and it is unclear if the negative impact is a decline in population abundance or a decline in use owing to avoidance. Anseriformes experienced greater declines in abundance than other taxa, followed by Charadriiformes, Falconiformes and Accipitriformes, and Passeriformes. Time since windfarms commenced operation also had a significant impact on bird abundance, with longer operating times resulting in greater declines in abundance than short operating times. Other variables, including turbine number and turbine power either had very weak but statistically significant effects or did not have a significant effect on bird abundance. Windfarms may have significant biological impacts, especially over longer time scales, but the evidence-base is poor, with many studies being methodologically weak, and more long-term impact assessments are required. There is clear evidence that Anseriformes (wildfowl) and Charadriiformes (waders) experience declines in abundance, suggesting that a precautionary approach should be adopted to windfarm development near aggregations of these taxa in offshore and coastal locations. The impact of windfarm developments on bird populations must also be viewed in the context of the possible impact of climate change in the absence of windfarms.",2007,https://www.jstor.org/stable/44520995
Understanding bird collisions at wind farms: An updated review on the causes and possible mitigation strategies,"Bird mortality due to collisions with wind turbines is one of the major ecological concerns associated with wind farms. Data on the factors influencing collision risk and bird fatality are sparse and lack integration. This baseline information is critical to the development and implementation of effective mitigation measures and, therefore, is considered a priority research topic. Through an extensive literature review (we compiled 217 documents and include 111 in this paper), we identify and summarize the wide range of factors influencing bird collisions with wind turbines and the available mitigation strategies. Factors contributing to collision risk are grouped according to species characteristics (morphology, sensorial perception, phenology, behavior or abundance), site (landscape, flight paths, food availability and weather) and wind farm features (turbine type and configuration, and lighting). Bird collision risk results from complex interactions between these factors. Due to this complexity, no simple formula can be broadly applied in terms of mitigation strategies. The best mitigation option may involve a combination of more than one measure, adapted to the specificities of each site, wind farm and target species. Assessments during project development and turbine curtailment during operation have been presented as promising strategies in the literature, but need further investigation. Priority areas for future research are: (1) further development of the methodologies used to predict impacts when planning a new facility; (2) assessment of the effectiveness of existing minimization techniques; and (3) identification of new mitigation approaches.",2014,https://doi.org/10.1016/j.biocon.2014.08.017
Estimates of bird collision mortality at wind facilities in the contiguous United States,"Wind energy has emerged as a promising alternative to fossil fuels, yet the impacts of wind facilities on wildlife remain unclear. Prior studies estimate between 10,000 and 573,000 fatal bird collisions with U.S. wind turbines annually; however, these studies do not differentiate between turbines with a monopole tower and those with a lattice tower, the former of which now comprise the vast majority of all U.S. wind turbines and the latter of which are largely being de-commissioned. We systematically derived an estimate of bird mortality for U.S. monopole turbines by applying inclusion criteria to compiled studies, identifying correlates of mortality, and utilizing a predictive model to estimate mortality along with uncertainty. Despite measures taken to increase analytical rigor, the studies we used may provide a non-random representation of all data; requiring industry reports to be made publicly available would improve understanding of wind energy impacts. Nonetheless, we estimate that between 140,000 and 328,000 (mean = 234,000) birds are killed annually by collisions with monopole turbines in the contiguous U.S. We found support for an increase in mortality with increasing turbine hub height and support for differing mortality rates among regions, with per turbine mortality lowest in the Great Plains. Evaluation of risks to birds is warranted prior to continuing a widespread shift to taller wind turbines. Regional patterns of collision risk, while not obviating the need for species-specific and local-scale assessments, may inform broad-scale decisions about wind facility siting.",2013,https://doi.org/10.1016/j.biocon.2013.10.007
